"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R69","0805","73.4mm","-22.1mm","73.4mm","-22.1mm","74.275mm","-22.1mm","B","180.00","0R"
"J6","53261-0571","74mm","-26.025mm","74mm","-27.5mm","76.5mm","-24.55mm","B","180.00","53261-0571"
"C4","C0402","78.2mm","13mm","78.2mm","13mm","78.5536mm","13.3536mm","T","225.00","100nF"
"Q11","SOT-23","86.4mm","-18.9mm","86.4mm","-18.9mm","87.4mm","-18.9mm","T","270.00","BSS123"
"D25","SMB","108.5mm","20mm","108.5mm","20mm","108.5mm","17.86mm","T","90.00","SMBJ70A-TR"
"R68","0402","72.2mm","-7.6mm","72.2mm","-7.6mm","72.7mm","-7.6mm","T","180.00","10k"
"R67","0402","69.8mm","0.5mm","69.8mm","0.5mm","69.8mm","0mm","T","90.00","470"
"D24","D-0805","69.8mm","-2.3mm","69.8mm","-2.3mm","69.8mm","-1.25mm","T","270.00","Green"
"U2","AI-1027-TWT","90mm","-24.7mm","90mm","-24.7mm","90mm","-27.2mm","T","90.00","AI-1027-TWT-5V"
"R35","0805","90.5mm","-11.3mm","90.5mm","-11.3mm","90.5mm","-12.175mm","T","90.00","100R"
"R34","0805","110.5mm","9mm","110.5mm","9mm","110.5mm","8.125mm","T","90.00","10M"
"R32","0603","91.5mm","-18.2mm","91.5mm","-18.2mm","90.65mm","-18.2mm","T","360.00","100R"
"R31","0805","104.5mm","-11.9mm","104.5mm","-11.9mm","104.5mm","-11.025mm","T","270.00","10M"
"R30","0805","117.7mm","5mm","117.7mm","5mm","117.7mm","4.125mm","T","90.00","10M"
"R29","0805","122mm","-4.1mm","122mm","-4.1mm","121.125mm","-4.1mm","T","360.00","10K"
"R28","0805","92.3mm","-11.3mm","92.3mm","-11.3mm","92.3mm","-12.175mm","T","90.00","100R"
"R27","0805","91.5mm","-14.8mm","91.5mm","-14.8mm","90.625mm","-14.8mm","T","360.00","100R"
"R26","0603","91.5mm","-7.7mm","91.5mm","-7.7mm","90.65mm","-7.7mm","T","360.00","100R"
"R14","0402","79.4929mm","0.1929mm","79.4929mm","0.1929mm","79.1393mm","0.5464mm","T","315.00","4.75k"
"R13","0402","80.2mm","0.9mm","80.2mm","0.9mm","79.8465mm","1.2535mm","T","315.00","4.75k"
"R49","0402","80.9071mm","1.6071mm","80.9071mm","1.6071mm","80.5536mm","1.9607mm","T","315.00","4.75k"
"R3","0805","75.2mm","23.2mm","75.2mm","23.2mm","76.075mm","23.2mm","T","180.00","100R"
"D5","SOD-323","118.5mm","-4.1mm","118.5mm","-4.1mm","117.375mm","-4.1mm","T","360.00","BAT54"
"C24","C-0805","91.5mm","-16.6mm","91.5mm","-16.6mm","92.375mm","-16.6mm","T","180.00","10nF"
