Altium Designer Pick and Place Locations
C:\Projecten\DieBieMS\GitHub\Hardware\Project Outputs for DB10005_DieBieMS\Pick Place\Pick Place for DB10005_BMS(Production).csv

========================================================================================================================
File Design Information:

Date:       17-08-17
Time:       22:21
Revision:   Not in VersionControl
Variant:    Production
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R71","NTCS0805E4104JMT","TopLayer","0805","89.0000","26.0000","180","THERMISTOR, NTC, 100K, 5%"
"R2","10k","TopLayer","0402","67.5000","8.8000","180","Resistor, 10k, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"Q13","BSS123","TopLayer","SOT-23","78.1000","-4.1000","180","Mosfet, N-channel, Vds:100V, Id:0.15A, Vgs-th:2.8V, Rds-on:3.5ohm"
"Q12","BSS123","TopLayer","SOT-23","74.6000","-4.1000","180","Mosfet, N-channel, Vds:100V, Id:0.15A, Vgs-th:2.8V, Rds-on:3.5ohm"
"J16","53261-0571","BottomLayer","53261-0571","74.0000","-15.6250","180","PicoBlade 53261 Series, 5Pin, Right Angle"
"L3","BLM18PG330SN1D","TopLayer","L0603","58.0000","-10.9000","180","Ferrite Bead, Impedance:33ohm, DC Resistance Max:0.025ohm, DC Current Rating:3A"
"R72","1.5k","TopLayer","0402","88.7000","-18.4000","270","Resistor, 1.5k, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R70","470","TopLayer","0402","77.1000","16.7000","90","Resistor, 470, 1%, 0.0625W, 50V, 100PPM, 0402"
"R69","0R","BottomLayer","0805","73.4000","-22.1000","180","Resistor, 0R, 0.1%, 0.1W, 150V, 200PPM, 0805"
"J6","53261-0571","BottomLayer","53261-0571","74.0000","-26.0250","180","PicoBlade 53261 Series, 5Pin, Right Angle"
"C4","100nF","TopLayer","C0402","78.2000","13.0000","225","Capacitor, 100nF, 25V, X7R"
"Q11","BSS123","TopLayer","SOT-23","86.4000","-18.9000","270","Mosfet, N-channel, Vds:100V, Id:0.15A, Vgs-th:2.8V, Rds-on:3.5ohm"
